Taxon,ID Number,Rank,Trophic Mode,Guild,Confidence Ranking,Growth Form,Trait,Notes,Source/Citation
Capronia pseudonormandinae,437010,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Normandina simodensis,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia semiimmersa,255872,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Capronia thamnoliae,563049,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Thamnolia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Carnegieispora rimeliae,515392,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Parmotrema,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Carpophoromyces,827,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Castanediella,811878,Genus,Pathotroph,Plant Pathogen,Probable,Micofungus,NULL,NULL,"Crous PW, et al. 2015. Persoonia 34:167-266 [Link]"
Catacauma,835,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Catacauma mucosum,100722,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Catenolaria,541643,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Catenulostroma,504474,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Caulochytriaceae,80561,Family,Pathotroph,Fungal Parasite,Probable,Microfungus,NULL,Reported parasitizing the conidia of Cladosporium and Bloeosporium (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Caulochytrium,20109,Genus,Pathotroph,Fungal Parasite,Probable,Microfungus,NULL,Reported parasitizing the conidia of Cladosporium and Bloeosporium (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Cecidiomyces santessonii,800819,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Stereocaulon,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Cecidioskyttea osorioi,511461,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Concamerella fistulosa,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Cecidonia,25248,Genus,Pathotroph,Lichen Parasite,Probable,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 [Link]; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 [Link]"
Cecidonia umbonella,134633,Species,Pathotroph,Lichen Parasite,Possible,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Cecidonia xenophana,134634,Species,Pathotroph,Lichen Parasite,Possible,NULL,NULL,NULL,Esslinger TL. 2014. North Dakota State University [Link]
Celerioriella,812477,Genus,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,"Crous PW, et al. 2016. Persoonia 37:218-403 [Link]"
Celidium varians,160834,Species,Pathotroph,Lichen Parasite,Possible,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Celoporthe,500886,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Chen S, et al. 2011. Mycologia 103:1384-1410 [Link]"
Centrolepidosporium,510939,Genus,Pathotroph,Plant Pathogen,Probable,Facultative Yeast,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 [Link]; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 [Link]; http://mycorrhizas.info/ecmf.html [Link]"
Centrospora,7517,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Centrospora acerina,282400,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Cephalosporiopsis epiparasitaster,436869,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Chaenothecopsis parasitaster,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Cephalosporium crotocinigenum,327577,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Cephalosporium gramineum,266357,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Cephalosporium gregatum,284846,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Cephalosporium maydis,327586,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Cephalosporium proliferatum,310441,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Cephalosporium sacchari,218775,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Cephalotheca foveolata,521284,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Cephalothecium,7526,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Cephalothecium roseum,228348,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Cephalotrichum stemonitis,223989,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ceraceopsora,25629,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ceratobasidium bulbillifaciens,807655,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on various lichens,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
